walletId,nftId,group,type
4UoaSzgABtbHu5Vb7U67X8xmZtmHoun3kbkSQt7DK4AC,G2TAWePYGsfdioYhW3sTfeWuUmAMUS9p73kHGiAVarZR,1,nft
CrzZVV4DSqPQmqGQ129SToSNbCAkgdVx3MXEEaSc2ecu,BWm4RhoNDjkPQjN3yCWxRqNZFCLegjwjK5v1dhou9S35,1,nft
J3JQVpDzh1VSZ427M8Ptj8GLXAwMxC33E76Wfm79zEtV,Em4PrGvvvTyPpL4PQd2TckqWwRWK8qaodgNDTR15pdxf,1,nft
5qHLuhLx3hgXgS8w59eMH4LS8DNrsBNnZ5HfJdyAav3J,ECUmPTucgxyyzAs7Fi4RGfhNKSbivWV6reYrR8sxTb83,1,nft
3EpVYqEcEWY9N9w7J9RGxCkVs4bHGVDNAe8S93meXViZ,5FXyemYmKMWcYvLWWS2qdWvnGzJTASSKzgMo6LMtd65m,1,nft
5iguKsV3TVcekbpNBngC1HkgsxYrryS4YXVJSVyTRrxW,7miD9uUh6RA2jU7xFNzKVKysZT7BSiszDirz1Gp9GXWS,1,nft
C7oW83J4GS3NksqxxEZqkvFyJiJVWRD5Wz3tE8pY6GUx,CAxvFbST8ypVM6EpRVLpovNhmPbo19EAYscoW6fc4Ax2,1,nft
JBKVbGpPypVZwyFXK6jSWtG6qhw85VNgtNy29mUz3YhY,ED5QHkLYn13mZzXzRzZPyyDAtrRsHj222tNtaD7w7eez,1,nft
G2soNMKJJCVsszQFXLn5TW2Z9krY9Qt1krH2iToKpsAe,Fcyo22xd4Qd28RteAM1AoBrPeSPo9xLU3oifyRMGVt9U,1,nft
4dBNn8t3EHn9fpRAi1KTysSfsrNkw4kr1P9ACqfcQDYv,GpY5PXAtDRVJ4Vb3CnxAJzjEHaG5UYAzDuTK3phhsfe5,1,nft
GLcm36ofWR3TMPtEqD7ocDjHuXzC6ft5vg5UgUWgveWn,3szvwU4xKcLYaRL4uZGCAZJjkeaPXsKKzdBEDMQ7Zwyf,1,nft
25sTM7p5J7sg8RsvAPW2xDHjxhQARtnYqG3uRaewsGPF,6zUmPbbeZPjCsdrYQgkyhy71wHs5eV3K9JnRduXnV4aW,1,nft
GwAbkeDjaux569f1YFP2w84Giog3jV5sf51QyYLuhYzS,AvjgaStRt25pc6pdFYyHnw36GHjAe3HJHLbBQaQzjvg8,1,nft
CCrrz2bD14e6owXa4kZF5peGLg5q9JFHXn9YHc3YKg9t,Bp4PTmcfgpRcieCfifL4uiV9VBCDFRZSdLP5Bbe8QySr,1,nft
CKweHes9jzXcg1wFUGDVR2P7mMv1ERtH73sq8xnYMxVn,8Hmu7yHFQbiunsCbvofhGcPJscah2VcXgU7LVWkpmuYG,1,nft
9NRyyDnM2M6yCV3okTZXsiYnCuYCuhRZ6DX9S8SnDHaD,BM3iyM5xZQJQVsyMf3VHduoCpenMX858ZbN82ps85Ea6,1,nft
8eoq3HYPrn8tPJze5QgAC6zr6dAoXJPyzPHn2cyHnCej,DZMp524pKtbdi17QDQXZSw48btQfVCqGzEpiUA8Yp6Dp,1,nft
7QLh3UyTXDhhgqsPp1geFenB7ehC6krMx8z2gUqNrZAh,DBR317NdPHXQ6yT7BUhx6TPQEH4kT58CnpKW58bfnp6i,1,nft
E7NkNZ9AK59xuFcJqfLiWBsgiq9ugpprVckqspuc34tg,H2xce7gN64JqrF8iSdn1J5mMpBwW8L81EGyYKq7Ljxbf,1,nft
2EZmUJuoR3516R2Ba9aY72KxjVou1fD1HyQKGFbmun9y,ENpPUhjHWW5BmEWb8srFBJuaYjCcc4L9TwKhwQS1GXUv,1,nft
5v6ir9kLoFry8rh9tSBydyKZAWycCEqBFvVWrNQTDa8K,H7tLXVTcsndK4X35EcGYs8urpY7eApZKgyTmP33D3LzR,1,nft
CwGecEMRtia4TQRi3mAEnvnDnud4KdsnfuX88mmEvhCV,F1W9MteLC9Ay1kPAMHjgJ2ZzCLb64C8RAo9ZpSDPJEi1,1,nft
H2b9eJdFN5AjxvuZn9HJax2AinAbS7Dwa1kSmDzwv8xM,6Ssd7nsbVHSmXNW3rv5gdNjFSPEr5PLZBzk5SscFXWS5,1,nft
BLnRRWkpxSSzrMmwhdMCVoFPbDYL5K2rWQdqbj9a7Acq,97dqJnyLYVVjV6YxgN1BJMvMgev131CMVeTkEEo4X4s4,1,nft
JpyhfeShLucjBgnw2s5DFNEs3xLn26rb2zYK6KYNJmi,PJDcLKPkuGHCyNFhbSFP8Z41UjvaAaM9yPw6F6kg2gr,1,nft
FJTfzvsbahzLYtcDxiCVzYe5E2XHsREL84cv4mrXNVAC,EQ6Z2pt77cC8XLwF4h9ByqVWV6NDrC9tT43KyYnf2r3b,1,nft
FJTfzvsbahzLYtcDxiCVzYe5E2XHsREL84cv4mrXNVAC,36Zr8mpPpdqMVPEdZopkKipQ2hnZoFiUwhisXd3SaZVA,1,nft
F2kD6xgsxtUmF5RDxK1dsjViwKDCjEwJ8gUJkRZgJ6NH,4Gzu2uzcZPu7ySbxsm75GKuAeSbrFum7SgykN83gA7h5,1,nft
DpaWgh3qHQ8SXVpxC6K14DcZm1ZyMpbFrJ1Tk2ycrQPJ,CoYdU5YU4J6a2K8Fv1z7QTxgZY2kYbZEan1e97QuNSwF,1,nft
9brJJhejx28m9X181pVohpJALARfEahq5KAWnX9ZZjdX,FGomixEF6h2hGEo8zBrQktuvW3uTwoMgHvBibs5tweYg,1,nft
GftjMawt5PzoRToAXJSpwB4zcW1qmjs6MgRXX1Vje6CB,GGv6ej7UfbeerJq6h66HKnCJeQgTT5cTk44pyxUQEwjk,1,nft
BsfeDrGhGHmgpFLmuLVBbY2YPK6KzTUS3zzxnrrs5pCt,9CYaTM2goc8A6pWF6Cxkqz3Voe4umJPizycWV3fduyXV,1,nft
E161YZCXpwT9mXTnpd8BfqhZLNQZGYRKDq9CJwn9hWaJ,GVBBMULF5S3dRzRKfJCwFosVUez22gETxhTxXRQknAxj,1,nft
CEvZSadr2iHriujwWGPtYEwL6G3ZtcUL3ZaEkDgEaa2r,HPA9Nf934YvhdYRuM9zUiybBvxBsDrAmUofASSWSKZUC,1,nft
67zNcLTArRPcMJEh9bkLH7BkSrCdZ8zk9vrr26J5maYN,47Hp7mU9Ud1CkXEg3jJ2XHHYPAauNYyz87N5SgYBQx6b,1,nft
FHjSKs5b3prDSZxFgEJvPbYE7AMhY26u1Pji91fXrZG8,4MJWZast7NUKqg9EmR7F6MFyJqXtyZFbaXKPT7JAJ9KA,1,nft
93fsVjshWKkVsn1sdvtBnXwosX7FwzMNzYUq2N8LXtJi,7HpVRYu9HvxY72NQHFRKmny2i9bXUZNinFm2Nx7RCyyc,1,nft
EJrenckFuhPHrkgqY68BP1xzZdnCF1LAT6xAcY9GMTiB,5xufCAy33U4CVGrqguNsM6Ti3nSk9kA3BvgyxXyZionZ,1,nft
AXXUgjD21L6576drkHZDmTAz74QMF8qfeFjdHwqh2kYs,FDqgXiXKiP7SLk3BgJfUhp6GMuBpFUNTgehMkqY1yyZK,1,nft
5vpSPAQaAs8UDmSqRz6yvPo9cHGfFXyVEuxetbXc8v3p,AtomZXwPeBuzzVvDJnygb3CivokTqXbM6KDgiNQ1UrnY,1,nft
Hsmk6oavwTk6BtKvjEnwSgK8SW7vJAj7d4q787bffLC5,GEvDNKJuUEm2dyhiRFUUEdF3BZBBaRRSKUKXFogkpyTH,1,nft
DeVgnpVYatEh1XsEB2eNsDmg5YJbH9ozduiYgj9gWcHi,Eb9GEQohWXWxMqGkpMcYT51HSK1j9LoXP8VXs9YuXP95,1,nft
9Zq3fX9vuKebRonGkMXnhN5Lend4FHDAG7mnjnBrBW2v,G7ay6tnC4uHe63r392U9ngfG1ABKbhiJqzhsJTX39Uud,1,nft
CUy1c7v4KG7zjq2oAVAzQrmPYKakjRR5xEqMRjPz6rjk,4C52fqF888L9dgEgyaxzx2NX6oc3XRDSoBNSkor4KcDa,1,nft
8MQuZQ1KkAwd1L4brHvDHp1X4XKGgp7hC2GG1TBtWm7A,CBdfWjmuAxJQQVuXSRLLMAE1uCsMMw3K98rknNw3MDrE,1,nft
7sw4oe7bth6iRGyToBmrAb4AvXeCcpCi4xG2uhKnBeYi,EdS9YbjM1CzufezuG3H7xk36KW4xCZieDkscL3sqN47M,1,nft
HPWTUuWrjMrQgBAYE1gGerEdzU5UrLGvbwEzSsvxh96b,uzBjvaLZVTyKxsxHYTdsicKAKdhyjTJweoXAehLT4Ko,1,nft
ASt1Vk3o6YQJfw6sGpjPmzFudtEAToZ36L6AqciA8AVJ,7YE8UmKMuW1QA9mpuULP9upR315H65vpPirJZE9EnkjF,1,nft
EqLFbB3siaf9dSd2UuemDDbEhNg9KBfqKzE4erQCi956,CJvUzqeh8h1CpsHevJegD8GtGbHwxh2FPfKJPUEsdY49,1,nft
6i8yim2XH991R3WPeZyWfA8iaghKt74aRkzcTVTawtVD,UtxaSkN5HGfhbsW4pddGKNMDcwtsdVsHFwZ1bKTXoMF,1,nft
BQ4VEyVqyVYoKgVNRk7iebBXyN8z8iA5s2redB1dqVeJ,4VFtGcNJ5QQ8wjFCow8riZVaYeyJijQVBfL97i4d7abH,1,nft
8Usc28TFHcgwbbD3hSYuav4wLWZnTDfAq8kGnb4wHgr6,3qz3irCqtzb93Xz5uo8BngHJBVg9XRdM6PnnF9Cr5Jph,1,nft
CkjXkdTjUfbkyDQywrSNQS7F3mg7cxQrESzqK9wAFpnQ,3DJwsRw61goKxsfCeSeE2wjQw4xrmCenb65ZWu4qS9dw,1,nft
8EkfV23o4KobxYJHUWJAhQKjiJ2zLewGCbdq13423Hvw,2M3n2yhdF8qkzE6ndNbcwacA12oPqzrjn5H7RRNagkWn,1,nft
2BULwGHffhB661MyJCiWtYvoHJGdwcmKYgFrFpMEYL89,2PquyA5ZJwyocGCnobmZRfyYRtuZ8ARompQYeA7iTbvp,1,nft
GEzCN23h9CoBtmXWhKrSoBZuRJEuVVtj8NctrsmoYfsu,AePc5ZQfQUWBrNeAXfojkHuq6cou9DkhmUfWVDNhk8Vk,1,nft
4gYxbsuutjw2aY6rgbh7VXdCa5wGDkCHS7rPsTMnp8xM,EzXpvYa1Yg3KpHu7M97eJYxDPreAuiEKHzLWe864MMzZ,1,nft
5ncjtFviu7HfcHq6uRJBQFMQo9n8nXR17pRuey5WBNwT,wHrsquVMwea5m436oQ63FQEDsJBb1kcfSTFp81aXEet,1,nft
8b4WNbU3fpu2dnSRuatmPcXRk535bJxYMiPsLtAA4ihk,FdinzMVLnGKoymiMZxbJAwxvSKeUHUPh9xTSdbsMyfop,1,nft
FrvMeQPnwfwxkKVs4G6EfsVdF8PFJMqd8sP41Xbk5sPX,HEHXA1ZZhy4bp4WmqyHxYWaEiZbhHy4c3Zwdsm5NAmH4,1,nft
9CfUG2RQgrEtMwjVs9Dt15GYYwepyCQPJXhKJvk6Du7o,GAVZcJY9uT1zCmB3YSPyCPLNN6WtQFKaPgsZBYHc32sd,1,nft
4djhVyvx4xQiEddgPfqDPBYLyzy32VKKF8YxanYSD67q,GD92PkiBYDtnDZfCMkvK1Tzchppnfx4YQ9f7qU431ry,1,nft
xzFZoh5D9Ahq69J2BVpsd9CAcftdc16KqTTG5wBuax8,DVsTS1Z9rcX15AQVZ5XPXWz8opfW5TBeCBtWzcVReQic,1,nft
7KMYy11BCShBzjc2S1Xd4VLy8isZqZPon8NQTxvLuCmN,FvLEujcj45WWasqjvH56fBuoF5PrbXeVUpmDdxJUukx7,1,nft
6CtrTuNjGyPNnyBVTFjLHwQfsdDHr6zazq32ZYEQdiVR,6iCfuGcJqVf5nKKpM1CVL9Dg39EeL4zx9DZD7jAJnpQq,1,nft
2h6ZkmBunDv9qeMX5Axb9aUwWcQHPkyrh4ZSL3aMsQ1c,7QoBNXr1AbvNoqMQ1zRoT2YatUvg51ju5WDUfYrb5C4Z,1,nft
86FWCis17EKLZKu98pdga53XkJdTyXMxYT5zAMArsUwx,B8ifR2m5zoqAbjxkaWAvJaGR2M62QBH9jf3tiWWXne5B,1,nft
8SgVBJqUDqhcrC3gTHbbBtrHnqZfz2ivHUkeyE1KNH58,DZV5vZiAGTYNtb8yBfTcpMQjA4NtXSaGZqhHVe65FBzk,1,nft
4vyXhJf3r1TbbS8kfB4Ch2M8vVCovBjVTuHpDVzBpzeq,DaAtPWDA63pnxZZhuKuM53GuHKXX9wDxkRocBbJtQqap,1,nft
9f2VueNUpvCn52nSSZimR3tKomwXJRoU8BAHWBuQ3DRG,BP9EpbGmvf13gddDLapzPTWYAP3mejhvzwij5kYKKsNh,1,nft
4sdNGggVzJDZmL8WMKVgsyDLMDh3dJ4zxoBbeH2AUvgv,EvziFPpfqbwejaEqm1sAFgpa9itYBAc3za6esrKGsynq,1,nft
6BSVfM9gSkW6ZYZoAjG2mfnd1QtbT5P8dRkf3PftnaCC,h3MsoQUzvE6ei6J5qXPKxMAPZH4Youz5tTJAATzccNt,1,nft
3idUohSg9w1ZwefV1G7oNnU4iPpzgQUrrjFBo4u5kktQ,2trLvdi2GzMNfHuUDut4DzeZm5Z7FSuoScoS7hD7Ju66,1,nft
GC896fz61fGm9dK2sshccr5hBmCwEZkSrQgtnJ4Jxsmu,GKLiko9Uyf18gawNj2zW93AS7Dboa7xKcXfPwazqndpw,1,nft
5grJXKe6gxBXyTZG6os6BBJ4YoSLcZmG15x6U6ATxABi,HN8cM5wLcHACdaKTbSsP4Fabtuhmvfh7nTJHbu9q87fz,1,nft
75SsftLVtyei8cdbPQyjGmEJuctZkPCKo9L3dcGbRPTP,58crN2ZCXTyFYN7hcADHd1hg2z8ikAWRmZ8KDeBkPw97,1,nft
Hc1he714USKYU15wdXYMFb7BqhxcnVXDkECU8A9enyXx,8TkEKYTtjCVwJnvDrhwSuVdeu219NgZhWP1hMudU2ASX,1,nft
GT1c3KDUd3JMbbSthm41DzoeiYCzxSot2HJaNSbZC2Ag,AcsVpqDoCWsLWjmWWaSZPAdxHMLmxUfV9FL9DGXKeEVQ,1,nft
D4MWjwSmU25TQqMEvHjnTimcuJTpRbShVCEQcq36haYB,C8xL4Zb7vHSnb2BPBYFy8yDRS5YmxtstHNsAbjTsosH5,1,nft
7Tpzt3wFtq5kAgehinbSRaLP7UXFXxzP33FQq6VstgV9,288H3J8qCmkh9xDorZJQoAjt9hFMfwGaFLwXaf3Eo1J6,1,nft
4himbhyAL7KzaTHQiGNoqYtNZvBQ25tH6punnqDJzTH4,2d9Msjw23bK4WyzLbr4NDaKBPHJx7XfmbExXHjWhnma2,1,nft
9LMrX3DmQTs9bjuZYrmoum4SY9dpgoE8T4aYQ3ePn6Hg,2gzPmTxLfgBNSwA1XEt1p8PRVTwa3qe9Q5RKrkM8i33D,1,nft
3hmnYZmFMqAce9qKDzZeJf7P98DN8JibtE6WzqTBcKZo,9RPsAK1HWxmjW8erU36iN6JVaiw8WUZcvpcVMsYRA62A,1,nft
HfmL6ZCfCNq5zTSjazXnMdALoLayWSQsUkZPmjVf36LK,CtM3JCALgxQ4b1kntkiQrKY9dW74V1vywdb6LBqGwGDm,1,nft
BWh3hPWKENccHtWr73mFurVAuD3x27n6VbRUWF8tCnDA,EwLypgdvoeqGPwuZtZdhj4AuzaCvfowGbackwgAFc9Tg,2,nft
BWh3hPWKENccHtWr73mFurVAuD3x27n6VbRUWF8tCnDA,BgzwF5GXdFemRWYdt8Nt5VPfx8FEeyzvfnbNYgwcKk4n,2,nft
BWh3hPWKENccHtWr73mFurVAuD3x27n6VbRUWF8tCnDA,AbKMQLuqwRfFKodxQe28oVasmBHAg5WzygennmNHQx8x,2,nft
BWh3hPWKENccHtWr73mFurVAuD3x27n6VbRUWF8tCnDA,B5vdRyNQarRrFnayxcMH5gAYRgcAjRUymWWXts3x84EB,2,nft
BWh3hPWKENccHtWr73mFurVAuD3x27n6VbRUWF8tCnDA,4Q8WTufte8cB1kHDHJg7TArzufbEJRvscHNxMNo6Rds1,2,nft
BWh3hPWKENccHtWr73mFurVAuD3x27n6VbRUWF8tCnDA,4gt4cBsKGDDpX6tKMmre6G2czV89pB6yRpzYSEuPTXhV,2,nft
BWh3hPWKENccHtWr73mFurVAuD3x27n6VbRUWF8tCnDA,AyCEXNJCTVcLGJwUjxfU3shoVCQQpiLnrFFWG9SPduiV,2,nft
BWh3hPWKENccHtWr73mFurVAuD3x27n6VbRUWF8tCnDA,57vBExwD3Vdw9igQqsua3dRAfLGaznxBjrwhhno962W8,2,nft
BWh3hPWKENccHtWr73mFurVAuD3x27n6VbRUWF8tCnDA,6UqYkXgzh8DFBJnZ66DTx9whLFgRUaBVJjYFiFqzPSvM,2,nft
BWh3hPWKENccHtWr73mFurVAuD3x27n6VbRUWF8tCnDA,4nedKhhpqWuJPQ5F4REoWe4KYx6CWCFgRf1wFzeB5Auq,2,nft
BWh3hPWKENccHtWr73mFurVAuD3x27n6VbRUWF8tCnDA,4v66rUoHDhHnPkfDnMUz88cy4utfHqxu7WMV9vYwmyK,2,nft
BWh3hPWKENccHtWr73mFurVAuD3x27n6VbRUWF8tCnDA,5s1n2Wujo5264qCoFPVDAutLSfAWTvtEc1CbcFD7qUm8,2,nft
BWh3hPWKENccHtWr73mFurVAuD3x27n6VbRUWF8tCnDA,5riH4y2cE1gkDcqJMUW3rnmgmq8kbrcH34NFKz1BLZMP,2,nft
BWh3hPWKENccHtWr73mFurVAuD3x27n6VbRUWF8tCnDA,95MxULscptMEeBipG3y5ezktfzg4k6T5ZzGjYCEc8eEt,2,nft
BWh3hPWKENccHtWr73mFurVAuD3x27n6VbRUWF8tCnDA,946p3oLeFWqv1GwmK5Ha9jBiH9DhZu3gKQmYRfhZxYQC,2,nft
BWh3hPWKENccHtWr73mFurVAuD3x27n6VbRUWF8tCnDA,8adrUgAF6w3yRjK9DoVw7XNzrfjdLxHqbrtK1vpU6c9y,2,nft
BWh3hPWKENccHtWr73mFurVAuD3x27n6VbRUWF8tCnDA,6HGm9HYJtjgTxiixxThbDewomrgewwCgMitBZmSXDAc1,2,nft
BWh3hPWKENccHtWr73mFurVAuD3x27n6VbRUWF8tCnDA,JCxzHME3gmz8jHo4Z3C35nmxsojqzjmXXJAW7UGjckKd,2,nft
BWh3hPWKENccHtWr73mFurVAuD3x27n6VbRUWF8tCnDA,DSRMVtMeuFxG39vbF442q1kk5j6XEz4VMRbNeEtvQNvF,2,nft
BWh3hPWKENccHtWr73mFurVAuD3x27n6VbRUWF8tCnDA,8ZctfE5oj6jkWHgzNvJr1opLSNboZ5nX2d7Z76CdFgUb,2,nft
BWh3hPWKENccHtWr73mFurVAuD3x27n6VbRUWF8tCnDA,GmcFv6C7SNe5syCZZ5CorYpNd29Yax2C3whN7kHYMggx,2,nft
BWh3hPWKENccHtWr73mFurVAuD3x27n6VbRUWF8tCnDA,CNJVpzcy88dbCJuZH5S6h34fqWwvAhhazgndXZrrDwnd,2,nft
BWh3hPWKENccHtWr73mFurVAuD3x27n6VbRUWF8tCnDA,D8qVsss85Qk49HQknmENeCAVG7eRCtCDdEbbsXr4nMKT,2,nft
BWh3hPWKENccHtWr73mFurVAuD3x27n6VbRUWF8tCnDA,7uWSCd3SGkCoS7YH85FcW6PXzSZdDdQp6FoZN7dRbeN4,2,nft
BWh3hPWKENccHtWr73mFurVAuD3x27n6VbRUWF8tCnDA,247kc5bTqDooTTGNscYs51kw7z24J6bCni4xfJvok94s,2,nft
BWh3hPWKENccHtWr73mFurVAuD3x27n6VbRUWF8tCnDA,89fqGxuwmHj9FCKnnwbyKmoreyqqEi4F47BJb2qHCr6W,2,nft
4Nk37hHNqDHwgVbJJ4MhAnig8JbgGxWsAQZkccR13qgs,7YhY2V3pXHpzep5KMwRxRaUuuzD6FZFpNLathtFLoMpo,3,nft
4Nk37hHNqDHwgVbJJ4MhAnig8JbgGxWsAQZkccR13qgs,JBUWbfZeyxsoVqAk8rasUVUZUDpYtZoiMS6QUX2dcjcd,3,nft
4Nk37hHNqDHwgVbJJ4MhAnig8JbgGxWsAQZkccR13qgs,5AUazjVpy4fjSRMTvrqDzEbjaqW8hoUY7tRdj7YsenPG,3,nft
4Nk37hHNqDHwgVbJJ4MhAnig8JbgGxWsAQZkccR13qgs,ErgC9meGFvDmU1n1tbdLXQihPpX9bJgL4No2NKgM2whG,3,nft
4Nk37hHNqDHwgVbJJ4MhAnig8JbgGxWsAQZkccR13qgs,DKQ5tdjXtTEjrMLNxMYcS36PUVyaDDxSEcUXhzecVPgE,3,nft
